Date,JPYMYR
2010-01-01,0.03627421493265984
2010-01-04,0.036049514455596794
2010-01-05,0.037051918848765714
2010-01-06,0.03658560297542743
2010-01-07,0.03605203971729331
2010-01-08,0.03628857996356071
2010-01-11,0.03626156396866689
2010-01-12,0.03680171314582849
2010-01-13,0.03648464030791604
2010-01-14,0.03649950087974568
2010-01-15,0.03673498558275627
2010-01-18,0.036771953444586815
2010-01-19,0.036548647127003626
2010-01-20,0.03682340545890901
2010-01-21,0.037262841649694026
2010-01-22,0.03783877101502806
2010-01-25,0.037041420992120835
2010-01-26,0.038143481204390574
2010-01-27,0.03818677222825657
2010-01-28,0.0380338156354574
2010-01-29,0.03778774828389327
2010-02-01,0.037534155115607266
2010-02-02,0.03776153379783421
2010-02-03,0.03741854031552301
2010-02-04,0.038288779610941
2010-02-05,0.03837256121473094
2010-02-08,0.03867518338509099
2010-02-09,0.038240800072513584
2010-02-10,0.038061825306972205
2010-02-11,0.038039195537623846
2010-02-12,0.03796887168757463
2010-02-15,0.03801221522788124
2010-02-16,0.037865119319823656
2010-02-17,0.037302579472647555
2010-02-18,0.0372038676146514
2010-02-19,0.03701769802400017
2010-02-22,0.03721817348357474
2010-02-23,0.03775731964047749
2010-02-24,0.03772084386281169
2010-02-25,0.037956762688900594
2010-02-26,0.03831491049418651
2010-03-01,0.03783959523473931
2010-03-02,0.03726166524048972
2010-03-03,0.038077226537199825
2010-03-04,0.0377366510202475
2010-03-05,0.0371647071630052
2010-03-08,0.03689387030993073
2010-03-09,0.03704786177882598
2010-03-10,0.03671824744199822
2010-03-11,0.036545757597053884
2010-03-12,0.0364623372591767
2010-03-15,0.03668179927765717
2010-03-16,0.036621996459332305
2010-03-17,0.03652091173809225
2010-03-18,0.036501988507845466
2010-03-19,0.036509060496330396
2010-03-22,0.03673788181177268
2010-03-23,0.03683354504286057
2010-03-24,0.03608581304824302
2010-03-25,0.03593440846771826
2010-03-26,0.03566540716274155
2010-03-29,0.035261111063909154
2010-03-30,0.035155138112015
2010-03-31,0.034857786677650646
2010-04-01,0.03465743215224451
2010-04-02,0.03382947316338446
2010-04-05,0.03472490080493225
2010-04-06,0.03416636607396252
2010-04-07,0.03439432537349971
2010-04-08,0.034201457200500524
2010-04-09,0.03408866277831811
