Pair_A,Pair_B,best_lag,best_corr,interpretation
USDPHP_RET,HKDPHP_RET,0,0.9967289587856806,synchronous
CNYPHP_RET,HKDPHP_RET,0,0.8532527969498531,synchronous
USDPHP_RET,CNYPHP_RET,0,0.8529889939456384,synchronous
HKDPHP_RET,SGDPHP_RET,0,0.7757675051710635,synchronous
USDPHP_RET,SGDPHP_RET,0,0.7694185962768637,synchronous
CNYPHP_RET,SGDPHP_RET,0,0.7414743032518559,synchronous
JPYPHP_RET,SGDPHP_RET,0,0.6357987463499049,synchronous
JPYPHP_RET,HKDPHP_RET,0,0.5950876105946442,synchronous
USDPHP_RET,JPYPHP_RET,0,0.5949854397003,synchronous
CNYPHP_RET,JPYPHP_RET,0,0.55340646604599,synchronous
