Date,Pair_A,Pair_B,rolling_corr
2010-06-28,USDPHP_RET,CNYPHP_RET,0.9968728622085195
2010-06-29,USDPHP_RET,CNYPHP_RET,0.9968197015502294
2010-06-30,USDPHP_RET,CNYPHP_RET,0.9962445363019372
2010-07-01,USDPHP_RET,CNYPHP_RET,0.9962463356554642
2010-07-02,USDPHP_RET,CNYPHP_RET,0.9960800990301342
2010-07-05,USDPHP_RET,CNYPHP_RET,0.9960282267877217
2010-07-06,USDPHP_RET,CNYPHP_RET,0.9959502468163317
2010-07-07,USDPHP_RET,CNYPHP_RET,0.995948835152314
2010-07-08,USDPHP_RET,CNYPHP_RET,0.9959246346145624
2010-07-09,USDPHP_RET,CNYPHP_RET,0.9959426000036241
2010-07-12,USDPHP_RET,CNYPHP_RET,0.9959237831440086
2010-07-13,USDPHP_RET,CNYPHP_RET,0.9959209529689921
2010-07-14,USDPHP_RET,CNYPHP_RET,0.9959159713341187
2010-07-15,USDPHP_RET,CNYPHP_RET,0.9959049803937288
2010-07-16,USDPHP_RET,CNYPHP_RET,0.9959084092643148
2010-07-19,USDPHP_RET,CNYPHP_RET,0.995851807916511
2010-07-20,USDPHP_RET,CNYPHP_RET,0.995557929101113
2010-07-21,USDPHP_RET,CNYPHP_RET,0.9949861349581489
2010-07-22,USDPHP_RET,CNYPHP_RET,0.994986008210617
2010-07-23,USDPHP_RET,CNYPHP_RET,0.9948885991993883
2010-07-26,USDPHP_RET,CNYPHP_RET,0.994884864485561
2010-07-27,USDPHP_RET,CNYPHP_RET,0.9948931192620134
2010-07-28,USDPHP_RET,CNYPHP_RET,0.9948604491394342
2010-07-29,USDPHP_RET,CNYPHP_RET,0.9948609628010556
2010-07-30,USDPHP_RET,CNYPHP_RET,0.9949347414793588
2010-08-02,USDPHP_RET,CNYPHP_RET,0.9949599232665352
2010-08-03,USDPHP_RET,CNYPHP_RET,0.994965341886474
2010-08-04,USDPHP_RET,CNYPHP_RET,0.994964134706855
2010-08-05,USDPHP_RET,CNYPHP_RET,0.9949995150883468
2010-08-06,USDPHP_RET,CNYPHP_RET,0.9950691418466243
2010-08-09,USDPHP_RET,CNYPHP_RET,0.9950352093384845
2010-08-10,USDPHP_RET,CNYPHP_RET,0.9950250492348898
2010-08-11,USDPHP_RET,CNYPHP_RET,0.9948213383415767
2010-08-12,USDPHP_RET,CNYPHP_RET,0.9948899262174196
2010-08-13,USDPHP_RET,CNYPHP_RET,0.9945703483083137
