Date,USDHKD=X
2010-01-01,7.752900123596191
2010-01-04,7.75570011138916
2010-01-05,7.7555999755859375
2010-01-06,7.754000186920166
2010-01-07,7.755199909210205
2010-01-08,7.755899906158447
2010-01-11,7.754799842834473
2010-01-12,7.75439977645874
2010-01-13,7.755499839782715
2010-01-14,7.756700038909912
2010-01-15,7.760300159454346
2010-01-18,7.762599945068359
2010-01-19,7.7631001472473145
2010-01-20,7.767499923706055
2010-01-21,7.7708001136779785
2010-01-22,7.7718000411987305
2010-01-25,7.7677998542785645
2010-01-26,7.774899959564209
2010-01-27,7.775599956512451
2010-01-28,7.767300128936768
2010-01-29,7.763500213623047
2010-02-01,7.767600059509277
2010-02-02,7.766200065612793
2010-02-03,7.766499996185303
2010-02-04,7.769599914550781
2010-02-05,7.769100189208984
2010-02-08,7.7708001136779785
2010-02-09,7.769000053405762
2010-02-10,7.7692999839782715
2010-02-11,7.768630027770996
2010-02-12,7.769499778747559
2010-02-15,7.771699905395508
2010-02-16,7.769090175628662
2010-02-17,7.767509937286377
2010-02-18,7.766550064086914
2010-02-19,7.765699863433838
2010-02-22,7.7624897956848145
2010-02-23,7.76216983795166
2010-02-24,7.764490127563477
2010-02-25,7.7634501457214355
2010-02-26,7.7621002197265625
2010-03-01,7.763800144195557
2010-03-02,7.762599945068359
2010-03-03,7.762149810791016
2010-03-04,7.762899875640869
2010-03-05,7.762400150299072
2010-03-08,7.758440017700195
2010-03-09,7.759039878845215
2010-03-10,7.758389949798584
2010-03-11,7.758840084075928
2010-03-12,7.756499767303467
2010-03-15,7.75855016708374
2010-03-16,7.759900093078613
2010-03-17,7.761000156402588
2010-03-18,7.760300159454346
2010-03-19,7.758800029754639
2010-03-22,7.760560035705566
2010-03-23,7.761899948120117
2010-03-24,7.760900020599365
2010-03-25,7.761020183563232
2010-03-26,7.761899948120117
2010-03-29,7.763619899749756
2010-03-30,7.763899803161621
2010-03-31,7.763800144195557
2010-04-01,7.7657999992370605
2010-04-02,7.7677001953125
2010-04-05,7.765349864959717
2010-04-06,7.765100002288818
2010-04-07,7.7606000900268555
2010-04-08,7.7591400146484375
2010-04-09,7.75540018081665
2010-04-12,7.757299900054932
2010-04-13,7.759900093078613
2010-04-14,7.760300159454346
2010-04-15,7.759699821472168
2010-04-16,7.760700225830078
2010-04-19,7.762819766998291
2010-04-20,7.763169765472412
2010-04-21,7.762499809265137
2010-04-22,7.760499954223633
2010-04-23,7.762499809265137
2010-04-26,7.763390064239502
2010-04-27,7.763700008392334
2010-04-28,7.767899990081787
2010-04-29,7.764999866485596
2010-04-30,7.763500213623047
2010-05-03,7.762499809265137
2010-05-04,7.764100074768066
2010-05-05,7.76609992980957
2010-05-06,7.772950172424316
2010-05-07,7.782299995422363
2010-05-10,7.779799938201904
2010-05-11,7.7804999351501465
2010-05-12,7.781400203704834
2010-05-13,7.781199932098389
2010-05-14,7.785399913787842
2010-05-17,7.798999786376953
2010-05-18,7.797399997711182
2010-05-19,7.798999786376953
2010-05-20,7.80210018157959
2010-05-21,7.802199840545654
2010-05-24,7.801000118255615
2010-05-25,7.801199913024902
2010-05-26,7.77810001373291
2010-05-27,7.785699844360352
2010-05-28,7.788599967956543
2010-05-31,7.7870402336120605
2010-06-01,7.790200233459473
2010-06-02,7.791399955749512
2010-06-03,7.791200160980225
2010-06-04,7.794099807739258
2010-06-07,7.802599906921387
2010-06-08,7.803100109100342
2010-06-09,7.801400184631348
2010-06-10,7.791299819946289
2010-06-11,7.790200233459473
2010-06-14,7.790900230407715
2010-06-15,7.789999961853027
2010-06-16,7.791490077972412
2010-06-17,7.786200046539307
2010-06-18,7.7820000648498535
2010-06-21,7.7692999839782715
2010-06-22,7.777200222015381
2010-06-23,7.777810096740723
2010-06-24,7.777569770812988
2010-06-25,7.776800155639648
2010-06-28,7.781700134277344
2010-06-29,7.785399913787842
2010-06-30,7.787700176239014
2010-07-01,7.788599967956543
2010-07-02,7.794300079345703
2010-07-05,7.790999889373779
2010-07-06,7.78849983215332
2010-07-07,7.7891998291015625
2010-07-08,7.785099983215332
2010-07-09,7.763400077819824
2010-07-12,7.770400047302246
